gene	cell_type	subtype	aging_LFC	aging_FDR	treatment_LFC	treatment_FDR	residual_LFC	exact_permutation_support	exact_permutation_detail	Hallmark_membership	leading_edge	external_aging_validation	PROGENy_or_TF_association	NMF_program	communication_role	known_biological_relevance	experimental_feasibility	primary_evidence	supporting_evidence	contradictory_evidence	publication_tier	tier_rationale
Acly	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.5327715232141379	0.0033488350267261	-0.4286860852086819	0.0287558760083226	0.104085438005456	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_MTORC1_SIGNALING	True	False	Nfya;Sp1;Sp3;Srebf1;Srebf2		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Acsl3	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.5347007668655263	0.0002597685050211	-0.3697296637486871	0.0246640020181773	0.164971103116839	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_ANDROGEN_RESPONSE;HALLMARK_MTORC1_SIGNALING	True	False	Nr1h3;Rxra		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Cd44	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	1.3781998150183952	0.0018881660670751	-1.0451224465408318	0.0313162729617224	0.3330773684775633	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_APOPTOSIS;HALLMARK_ESTROGEN_RESPONSE_LATE;HALLMARK_IL6_JAK_STAT3_SIGNALING;HALLMARK_TNFA_SIGNALING_VIA_NFKB	True	False	Atf1;Cebpb;Ctnnb1;Cux1;Dnmt1;E4f1;Egr1;Egr2;Elf1;Esr1;Ets1;Fos;Gata4;Gtf2i;Hdac1;Hif1a;Hinfp;Hmga1;Hmga1b;Hoxc6;Id1;Jun;Kat5;Kdm2a;Klf17;Klf8;Mafk;Mef2d;Mycn;Mycs;Nfe2l2;Nkx3-1;Nr2c2;Nr2f2;Nr2f6;Nr5a1;Nrg1;Pbx1;Plag1;Rela;Runx1;Satb2;Smarca1;Smarca4;Sp1;Sp3;Spi1;Stat5a;Tbpl1;Tbx15;Tbx6;Tcf4;Tfap2a;Tfap4;Thra;Tlx1;Trp53;Trp63;Trp73;Twist1;Vdr;Zfp354c;Zmynd8		receptor	project_internal_evidence_only; needs_manual_literature_review	High: targeted protein/receptor assay and perturbation are directly definable.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association; communication receptor	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Cltc	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.557064368878777	0.0009276249331806	-0.511698654719051	0.003333201833456	0.045365714159726	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_PROTEIN_SECRETION	True	False	Trp53		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Dync1h1	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.537021684432961	4.952799576176364e-05	-0.5055155197409794	0.0002506821705483	0.0315061646919815	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_MITOTIC_SPINDLE	True	False	Fos;Jun;Rela;Smarca1;Trp53;Trp63		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Fosb	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.7033725328985155	0.000219330212478	-0.7258609526323531	0.0001703669539578	-0.0224884197338375	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_TNFA_SIGNALING_VIA_NFKB	True	False	Cebpa;Creb1;Esr1;Fos;Fosb;Rela;Sp1;Srf;Stat6		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Ssh2	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.6786127063379161	0.002508293841428	-0.565861033541379	0.01910870689599	0.1127516727965371	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_MITOTIC_SPINDLE	True	False	Tal1		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Casp4	Stromal_fibroblast	ECM_high_candidate;Smooth_muscle_candidate;Stromal_fibroblast_candidate	1.343507455554917	6.10890380083181e-11	-0.5736027251431727	0.0294564721678082	0.769904730411744	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_APOPTOSIS;HALLMARK_COMPLEMENT;HALLMARK_INTERFERON_GAMMA_RESPONSE	True	False	Ctnnb1;Ddit3;Lef1;Stat1	Stromal_fibroblast_P01;Stromal_fibroblast_P05	nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association; NMF: Stromal_fibroblast_P01,Stromal_fibroblast_P05	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
Cdk8	Stromal_fibroblast	ECM_high_candidate;Smooth_muscle_candidate;Stromal_fibroblast_candidate	0.9822001925375424	2.018649387506456e-06	-1.039862312485266	1.111420696371439e-06	-0.0576621199477234	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_APICAL_JUNCTION	True	False	Myc;Stat1		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
E2f1	Stromal_fibroblast	ECM_high_candidate;Stromal_fibroblast_candidate	-1.479628523440765	9.739104112670425e-07	1.049955948853523	0.0027051522761411	-0.4296725745872415	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_G2M_CHECKPOINT	True	False	Arid3a;Ctnnb1;E2f1;E2f2;E2f3;E2f4;E2f5;E2f6;E2f7;Esr1;Fos;Gli2;Hcfc1;Hdac1;Hes1;Hes6;Irf1;Klf15;Lef1;Mecom;Mybl2;Myc;Myod1;Nanog;Nfkb1;Nkx2-5;Nkx6-1;Nr0b2;Nr2f1;Nr4a1;Nrf1;Pax8;Pgr;Rb1;Rela;Sin3a;Tbp;Tcf7l2;Tfdp1;Thra;Trp53;Trp73		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
