claim_id	claim_category	claim_text_cn	claim_text_en	cell_type	subtype	pathway_or_gene	supporting_stage	supporting_files	statistical_support	permutation_support	external_support	negative_evidence	evidence_level	recommend_main_text	recommend_main_figure	recommend_supplement	limitations
C01	MRJP1_reversal	Granulosa显示稳定的MRJP1相关全转录组反向变化。	Granulosa shows a stable MRJP1-associated whole-transcriptome reversal.	Granulosa			Stage 1.6	results/de_stage1_6/population_reversal_evidence.tsv	Spearman=-0.740; cosine=-0.769	Spearman rank 1/20; cosine rank 1/20			LEVEL B	True	Figure 3	S8	Association in n=3 libraries/group; transcriptomic reversal is not functional rejuvenation.
C02	MRJP1_reversal	Stromal_fibroblast显示稳定的MRJP1相关全转录组反向变化。	Stromal_fibroblast shows a stable MRJP1-associated whole-transcriptome reversal.	Stromal_fibroblast			Stage 1.6	results/de_stage1_6/population_reversal_evidence.tsv	Spearman=-0.763; cosine=-0.764	Spearman rank 1/20; cosine rank 1/20			LEVEL B	True	Figure 3	S8	Association in n=3 libraries/group; transcriptomic reversal is not functional rejuvenation.
C03	MRJP1_reversal	Stromal_fibroblast具有12条strong multi-metric Hallmark反向证据。	Stromal_fibroblast has 12 strong multi-metric Hallmark reversal signals.	Stromal_fibroblast		HALLMARK_MYC_TARGETS_V1;HALLMARK_MYC_TARGETS_V2;HALLMARK_PROTEIN_SECRETION;HALLMARK_OXIDATIVE_PHOSPHORYLATION;HALLMARK_MYOGENESIS;HALLMARK_DNA_REPAIR;HALLMARK_UV_RESPONSE_DN;HALLMARK_APOPTOSIS;HALLMARK_COMPLEMENT;HALLMARK_APICAL_JUNCTION;HALLMARK_TNFA_SIGNALING_VIA_NFKB;HALLMARK_INFLAMMATORY_RESPONSE	Stage 2	results/pathway_stage2/primary_pathway_reversal_summary.tsv	Aging/treatment GSEA plus gene-level geometry metrics.	Pathway metrics evaluated over all 20 exact assignments.			LEVEL B	True	Figure 4	S9	GSEA activity does not establish biochemical pathway activation or inhibition.
C04	MRJP1_reversal	Granulosa具有1条strong multi-metric Hallmark反向证据。	Granulosa has 1 strong multi-metric Hallmark reversal signals.	Granulosa		HALLMARK_PROTEIN_SECRETION	Stage 2	results/pathway_stage2/primary_pathway_reversal_summary.tsv	Aging/treatment GSEA plus gene-level geometry metrics.	Pathway metrics evaluated over all 20 exact assignments.			LEVEL B	True	Figure 5	S9	GSEA activity does not establish biochemical pathway activation or inhibition.
C05	subtype_localization	Granulosa的broad信号可定位到3个受支持的pathway-subtype组合。	The broad Granulosa signal localizes to 3 supported pathway-subtype pairs.	Granulosa			Stage 3	results/stage3_subtype_localization/broad_to_subtype_localization.tsv	Subtype raw-count pseudobulk GSEA with predefined readiness rules.				LEVEL B	True	Figure 5	S10	Localization is restricted to adequately represented stable subtypes.
C06	subtype_localization	Stromal_fibroblast的broad信号可定位到35个受支持的pathway-subtype组合。	The broad Stromal_fibroblast signal localizes to 35 supported pathway-subtype pairs.	Stromal_fibroblast			Stage 3	results/stage3_subtype_localization/broad_to_subtype_localization.tsv	Subtype raw-count pseudobulk GSEA with predefined readiness rules.				LEVEL B	True	Figure 4	S10	Localization is restricted to adequately represented stable subtypes.
C07	composition	Granulosa的总体变化主要由亚型内表达改变解释，而非亚型比例恢复。	Within-subtype expression changes dominate the aggregate Granulosa shift rather than subtype proportion restoration.	Granulosa			Stage 4	results/stage4_composition_decomposition/decomposition_summary.tsv	Linear CPM two-factor Shapley projection: OC_vs_Y=0.996; OT_vs_OC=0.997				LEVEL B	True	Figure 5	S11	Projection fractions are model-space geometry, not causal biological percentages.
C08	composition	Stromal_fibroblast的总体变化主要由亚型内表达改变解释，而非亚型比例恢复。	Within-subtype expression changes dominate the aggregate Stromal_fibroblast shift rather than subtype proportion restoration.	Stromal_fibroblast			Stage 4	results/stage4_composition_decomposition/decomposition_summary.tsv	Linear CPM two-factor Shapley projection: OC_vs_Y=0.994; OT_vs_OC=1.001				LEVEL B	True	Figure 5	S11	Projection fractions are model-space geometry, not causal biological percentages.
C09	composition	Immune的总体变化主要由亚型内表达改变解释，而非亚型比例恢复。	Within-subtype expression changes dominate the aggregate Immune shift rather than subtype proportion restoration.	Immune			Stage 4	results/stage4_composition_decomposition/decomposition_summary.tsv	Linear CPM two-factor Shapley projection: OC_vs_Y=0.902; OT_vs_OC=1.007				LEVEL B	True	Figure 5	S11	Projection fractions are model-space geometry, not causal biological percentages.
C10	aging_geometry	Granulosa中OT沿衰老轴相对OC向年轻参考方向移动。	In Granulosa, OT projects toward the young reference relative to OC along the aging axis.	Granulosa			Stage 5	results/stage5_rejuvenation_geometry/aging_axis_projection.tsv;results/stage5_rejuvenation_geometry/permutation_geometry.tsv	Group means Y=0.130, OC=0.655, OT=0.400	Observed young-directed rank 1/20; empirical p=0.05.			LEVEL B	True	Figure 3	S12	Young-directed transcriptomic projection is not rejuvenation or biological-age reversal.
C11	aging_geometry	Stromal_fibroblast中OT沿衰老轴相对OC向年轻参考方向移动。	In Stromal_fibroblast, OT projects toward the young reference relative to OC along the aging axis.	Stromal_fibroblast			Stage 5	results/stage5_rejuvenation_geometry/aging_axis_projection.tsv;results/stage5_rejuvenation_geometry/permutation_geometry.tsv	Group means Y=0.141, OC=0.811, OT=0.408	Observed young-directed rank 1/20; empirical p=0.05.			LEVEL B	True	Figure 3	S12	Young-directed transcriptomic projection is not rejuvenation or biological-age reversal.
C12	external_validation	Granulosa的内部与外部显著衰老效应呈正相关。	Significant internal and external aging effects are positively concordant in Granulosa.	Granulosa			Stage 6	results/stage6_external_validation/internal_external_concordance.tsv	n=33; Spearman=0.615; cosine=0.666		GSE232309; same-direction fraction=0.909		LEVEL A	True	Figure 5	S13	The external reference differs in age, platform, and preprocessing.
C13	external_validation	Stromal_fibroblast的内部与外部显著衰老效应呈正相关。	Significant internal and external aging effects are positively concordant in Stromal_fibroblast.	Stromal_fibroblast			Stage 6	results/stage6_external_validation/internal_external_concordance.tsv	n=89; Spearman=0.645; cosine=0.672		GSE232309; same-direction fraction=0.809		LEVEL A	True	Figure 4	S13	The external reference differs in age, platform, and preprocessing.
C14	external_validation	Stromal的12条强通路中有9条同时满足外部衰老方向一致和治疗方向相反。	9 of 12 strong Stromal pathways are externally aging-concordant and treatment-opposed.	Stromal_fibroblast			Stage 6	results/stage6_external_validation/external_strong_pathway_validation.tsv	9/12 direction-concordant and treatment-opposed.		GSE232309 pathway-level validation.		LEVEL B	True	Figure 4	S13	Direction agreement is not independent treatment replication.
C15	external_validation	Granulosa最强的Protein secretion通路未获得外部通路方向复现。	The strongest Granulosa Protein secretion pathway lacks pathway-level directional replication externally.	Granulosa		HALLMARK_PROTEIN_SECRETION	Stage 6	results/stage6_external_validation/external_strong_pathway_validation.tsv	Internal aging NES=1.561; external aging NES=-1.520		Direction discordant in GSE232309.	External pathway direction is opposite to the internal aging direction.	LEVEL A	True		S13	This limits pathway-level generalization despite gene-level concordance.
C16	regulatory	PI3K、Arnt和Hoxa5构成优先的候选调控活动，但不是MRJP1直接靶点证据。	PI3K, Arnt, and Hoxa5 are prioritized regulatory-activity hypotheses, not evidence of direct MRJP1 targets.	Granulosa;Stromal_fibroblast		PI3K;Arnt;Hoxa5	Stage 7	results/stage7_regulatory_activity/candidate_regulators.tsv	6 broad lineage-program rows; rank 1/20 where exact permutation is available.	Stromal PI3K/Arnt/Hoxa5 and Granulosa PI3K rank 1/20.			LEVEL C	True	Figure 4;Figure 5	S14	Inferred activity is not direct binding, phosphorylation, or target engagement.
C17	gene_program	Granulosa与Stromal的10个NMF程序中有9个方向反向且更接近年轻组。	9 of 10 Granulosa/Stromal NMF programs reverse direction and move closer to young.	Granulosa;Stromal_fibroblast			Stage 8	results/stage8_gene_programs/program_reversal.tsv	9/10 programs meet both direction criteria; K=5 per lineage.				LEVEL C	True	Figure 4;Figure 5	S15	NMF programs are data-driven co-expression patterns, not causal modules.
C18	communication	IL6、FGF2、BDNF和BMP4是Stromal到Granulosa的定向通讯假说。	IL6, FGF2, BDNF, and BMP4 are targeted Stromal-to-Granulosa communication hypotheses.	Stromal_fibroblast->Granulosa		Il6;Fgf2;Bdnf;Bmp4	Stage 9	results/stage9_communication/candidate_ligands.tsv;results/stage9_communication/communication_evidence.tsv	4 ligands passed the targeted evidence gate.				LEVEL D	True	Figure 6	S16	Expression and ligand-target databases do not prove secretion, receptor activation, or direction of signaling.
C19	negative_evidence	Theca虽有较强数值反向，但缺少稳定的population-level exact permutation支持。	Theca shows numerically strong reversal but lacks stable population-level exact-permutation support.	Theca_steroidogenic			Stage 1.6	results/de_stage1_6/population_reversal_evidence.tsv	Spearman=-0.711; cosine=-0.653	Spearman rank 2/20; cosine rank 4/20		No exact-permutation-supported population signature.	LEVEL A	True		S17	Retain as exploratory and do not promote to the central mechanism.
