gene	cell_type	subtype	aging_LFC	aging_FDR	treatment_LFC	treatment_FDR	residual_LFC	exact_permutation_support	exact_permutation_detail	Hallmark_membership	leading_edge	external_aging_validation	PROGENy_or_TF_association	NMF_program	communication_role	known_biological_relevance	experimental_feasibility	primary_evidence	supporting_evidence	contradictory_evidence	publication_tier	tier_rationale
Il6st	Stromal_fibroblast	ECM_high_candidate;Smooth_muscle_candidate;Stromal_fibroblast_candidate	0.7101925682820298	4.338943079765527e-12	-0.5325177836386007	2.105019954527771e-06	0.1776747846434291	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_ESTROGEN_RESPONSE_EARLY;HALLMARK_IL6_JAK_STAT3_SIGNALING;HALLMARK_TNFA_SIGNALING_VIA_NFKB	True	False	Jun;Stat1;Stat3;Stat5a;Stat5b		nan	project_internal_evidence_only; needs_manual_literature_review	High: established antibody/protein or targeted expression assays are available.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Hif1a	Stromal_fibroblast	ECM_high_candidate;Smooth_muscle_candidate;Stromal_fibroblast_candidate	0.9434643855363556	1.3571988766377456e-08	-0.6522953100926303	0.0005358745177072	0.2911690754437253	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_ALLOGRAFT_REJECTION;HALLMARK_INFLAMMATORY_RESPONSE;HALLMARK_INTERFERON_GAMMA_RESPONSE	True	False	Arnt;Atf2;Brca1;Creb1;Ctnnb1;Egr1;Epas1;Foxo3;Foxo4;Hdac7;Hif1a;Hif3a;Hipk2;Hsf2;Hsf4;Klf2;Klf5;Kmt2a;Meis1;Mitf;Mta1;Myc;Nfe2l2;Nfkb1;Prox1;Rarb;Rela;Sim2;Sirt1;Stat3;Tfap2a;Trp53;Usf2;Vhl;Yy1		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Fn1	Stromal_fibroblast	ECM_high_candidate;Stromal_fibroblast_candidate	1.1245324418612863	1.206186322455524e-06	-1.051133313778559	1.842645413072896e-05	0.0733991280827275	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_COAGULATION;HALLMARK_COMPLEMENT;HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	True	False	Ar;Atf2;Atf3;Cebpa;Creb1;Ctnnb1;Ddit3;Dlx4;Egr1;Ets1;Fos;Fosl1;Foxc1;Hand2;Hif1a;Hoxa7;Hr;Htatip2;Jun;Klf8;Lef1;Lmx1b;Myc;Nfatc1;Nfkb1;Nr0b2;Nr1i3;Nr3c1;Nr3c2;Pax3;Pgr;Pin1;Pin1rt1;Ppard;Rela;Runx2;Smad2;Smad3;Smad4;Snai1;Sox17;Spi1;Sry;Stat3;Tbp;Tcf12;Tcf21;Tcf3;Tfap4;Tfcp2;Thra;Trp53;Twist2;Zeb1;Zeb2	Stromal_fibroblast_P01	nan	project_internal_evidence_only; needs_manual_literature_review	High: established antibody/protein or targeted expression assays are available.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association; NMF: Stromal_fibroblast_P01	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Tnc	Stromal_fibroblast	ECM_high_candidate;Smooth_muscle_candidate;Stromal_fibroblast_candidate	2.143374995167868	6.643691435974516e-06	-1.5571565853694562	0.0044043655280799	0.5862184097984124	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TNFA_SIGNALING_VIA_NFKB	True	False	Egr1;Esr2;Ets1;Ets2;Fli1;Fosb;Gabpa;Gata6;Gli2;Hoxa5;Hoxb5;Jun;Nfkb1;Otx2;Pax6;Prrx1;Rbpj;Rela;Smad3;Smad4;Sox4;Srf	Stromal_fibroblast_P03	nan	project_internal_evidence_only; needs_manual_literature_review	High: established antibody/protein or targeted expression assays are available.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association; NMF: Stromal_fibroblast_P03	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Zfpm2	Stromal_fibroblast	ECM_high_candidate;Smooth_muscle_candidate;Stromal_fibroblast_candidate	0.64091582272384	4.059658109940351e-06	-0.4095100946840045	0.0132369994820696	0.2314057280398355	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_COMPLEMENT	True	True			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	external aging	none identified in current matrices	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Prkdc	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.6470520262506791	2.4474205348960853e-06	-0.5536976041485263	0.0001739696273373	0.0933544221021528	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_E2F_TARGETS	True	False	Esr1;Jun;Prdm1		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Bard1	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.9697423422256668	7.988890819807975e-06	-0.6766132460336846	0.0057983443533427	0.2931290961919824	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_E2F_TARGETS;HALLMARK_G2M_CHECKPOINT	True	False	Esr1;Nr1h3		target	project_internal_evidence_only; needs_manual_literature_review	High: targeted protein/receptor assay and perturbation are directly definable.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association; communication target	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Abi1	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.5764917868827218	0.0034445368418048	-0.4562298201461297	0.0322524145416943	0.1202619667365921	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_INFLAMMATORY_RESPONSE;HALLMARK_MITOTIC_SPINDLE	True	True			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	external aging	none identified in current matrices	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Abca1	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.6216740691574888	0.0152813053645125	-0.7764214994791498	0.001702380906708	-0.1547474303216611	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_INFLAMMATORY_RESPONSE;HALLMARK_PROTEIN_SECRETION;HALLMARK_TNFA_SIGNALING_VIA_NFKB	True	False	Ar;Arnt;Creb1;Dnmt1;Fosl2;Foxa1;Gtf3a;Hif1a;Hnf1a;Ncoa1;Nr0b2;Nr1h2;Nr1h3;Nr1i2;Nr3c1;Preb;Rara;Rela;Rxra;Smarca4;Sp1;Sp3;Srebf2;Stat1;Stat3;Tfap2a;Thra;Usf1;Usf2;Zfp202		target	project_internal_evidence_only; needs_manual_literature_review	High: targeted protein/receptor assay and perturbation are directly definable.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association; communication target	no gene-level external aging support in the current reference	Tier A - immediate validation	Strong-population DE, population permutation, Hallmark leading-edge and subtype localization support; manually retained as an interpretable anchor for stromal or granulosa validation.
Acly	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.5327715232141379	0.0033488350267261	-0.4286860852086819	0.0287558760083226	0.104085438005456	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_MTORC1_SIGNALING	True	False	Nfya;Sp1;Sp3;Srebf1;Srebf2		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier B - second priority	Passes the core multi-layer hierarchy or has orthogonal external, regulatory, or communication support; placed after the prespecified Tier A anchors.
