plot_id	title	conclusion	source_files	source_data	svg	pdf	png_600dpi	n_axes	assembled_multipanel	svg_sha256	pdf_sha256	png_sha256
atlas_umap_broad_cell_types	Mouse ovary single-cell atlas	Cell identities occupy structured regions of the existing Harmony-derived UMAP.	results/06_annotation_v2.h5ad::obsm/X_umap + obs/cell_type_broad	results/publication_stage13/source_data/atlas_umap_broad_cell_types.tsv	figures/publication/atlas_umap_broad_cell_types.svg	figures/publication/atlas_umap_broad_cell_types.pdf	figures/publication/atlas_umap_broad_cell_types.png	1	False	312808e5c2759adc95594c09851955189b42137060f8e3f6ae6a343e5e378668	59d90a1a8cea74dbe72e955daf75247f23fda6ab87c4d2fcb636fb3995bbb96c	06d4f6d7097df13667c0e132c67b66349367afef083cfbbebf888e9e00042e7b
atlas_umap_granulosa_subtypes	Granulosa states	Cell identities occupy structured regions of the existing Harmony-derived UMAP.	results/06_annotation_v2.h5ad::obsm/X_umap + obs/cell_type_subtype_v2	results/publication_stage13/source_data/atlas_umap_granulosa_subtypes.tsv	figures/publication/atlas_umap_granulosa_subtypes.svg	figures/publication/atlas_umap_granulosa_subtypes.pdf	figures/publication/atlas_umap_granulosa_subtypes.png	1	False	52cdb0b18a85eb5f663a7675c70ac7ddd468a4a0b3d6637921e9ebcda5b31fdd	293c36220b7633bdc678b89cc37c91f6482ba91bf6c6074f66ad16d11496c271	3a14f161f667fd25a4dd6a132f8154042ba0203f07d3c400d9fb6cf752912da3
atlas_umap_stromal_subtypes	Stromal states	Cell identities occupy structured regions of the existing Harmony-derived UMAP.	results/06_annotation_v2.h5ad::obsm/X_umap + obs/cell_type_subtype_v2	results/publication_stage13/source_data/atlas_umap_stromal_subtypes.tsv	figures/publication/atlas_umap_stromal_subtypes.svg	figures/publication/atlas_umap_stromal_subtypes.pdf	figures/publication/atlas_umap_stromal_subtypes.png	1	False	0272f471eff995096669a439059f7124b73df8550355b523352219632c314976	427b4e0a7f3c7c31ebe5ba0af3fe04d6580202a52bc9ec87f9f86d6a1ddf553c	fb553a16b4e31d7968cbb3efc5d52ed3d8d35e9f831c096cfb61238493bdb495
atlas_library_composition	Broad cell-type composition by library	All libraries contribute multiple ovarian populations, with visible biological composition variation.	results/composition/library_broad_fractions.tsv	results/publication_stage13/source_data/atlas_library_composition.tsv	figures/publication/atlas_library_composition.svg	figures/publication/atlas_library_composition.pdf	figures/publication/atlas_library_composition.png	1	False	997278e32723cbc845645833a32863dc64e3d8b9c69c7f0696670700e259fb92	f043ee0b04658664bdf0c3fde5e90a9fef590080f193e7f9a11edd89d010e001	30b8685fad423fff3150b607b585c2a3a148ac249337314299e52b9745f408f3
aging_de_summary	Cell-type-specific ovarian aging effects	Aging-associated differential expression varies substantially among ovarian populations.	results/de_stage1/broad_de_summary.tsv	results/publication_stage13/source_data/aging_de_summary.tsv	figures/publication/aging_de_summary.svg	figures/publication/aging_de_summary.pdf	figures/publication/aging_de_summary.png	1	False	65a90c27d39bebbb89f5b3f95008bf8c84dd0d8cf23d509a9e6f8fd14d0eb30e	0b71cb1ac7c0420d952ed8a40253f08fe47842cc90dcf112d98d6ca945c652a4	e4b2f5c6e59345f11cb7f7af55989a0964822e0b9a10165558936a416542a4e2
reversal_scatter_granulosa	Aging and treatment effects in Granulosa	Aging and MRJP1-associated effects are broadly opposed; highlighted genes meet predefined reversal evidence levels.	results/de_stage1_6/Granulosa/observed_evidence_levels.tsv.gz	results/publication_stage13/source_data/reversal_scatter_granulosa.tsv	figures/publication/reversal_scatter_granulosa.svg	figures/publication/reversal_scatter_granulosa.pdf	figures/publication/reversal_scatter_granulosa.png	1	False	89d78152bb4b6723a7cc6a7cda1ac57931ac6fbb9a63a76941626a7c539dbc53	51159cf4c979d40181190bbd98f46a5085e902ede9f4bffedbef3c3a6ca1cd88	db23af46ed59d82bbebc9d9e922dd1d905702e9c25a51e94d5ebae1774fb5338
reversal_scatter_stromal_fibroblast	Aging and treatment effects in Stromal_fibroblast	Aging and MRJP1-associated effects are broadly opposed; highlighted genes meet predefined reversal evidence levels.	results/de_stage1_6/Stromal_fibroblast/observed_evidence_levels.tsv.gz	results/publication_stage13/source_data/reversal_scatter_stromal_fibroblast.tsv	figures/publication/reversal_scatter_stromal_fibroblast.svg	figures/publication/reversal_scatter_stromal_fibroblast.pdf	figures/publication/reversal_scatter_stromal_fibroblast.png	1	False	f4dd5603204b3fc241654686603653fd4907b6f62384b0781e1fbb9bd945d753	c94f63eb8b66ebdaeccd36cc2ca8a874768f107c5114a381a455fb1ca78c7ff9	a6871958f1ae20d3a1617dbc009f5969a1b98263195738b0328da8e456c13c33
population_exact_permutation_evidence	Whole-transcriptome reversal across populations	Granulosa and Stromal_fibroblast show the strongest stable whole-transcriptome opposition.	results/de_stage1_6/population_reversal_evidence.tsv	results/publication_stage13/source_data/population_exact_permutation_evidence.tsv	figures/publication/population_exact_permutation_evidence.svg	figures/publication/population_exact_permutation_evidence.pdf	figures/publication/population_exact_permutation_evidence.png	1	False	671fd367cce4153312dc10be5ad4859916d28dfad4df5606e90304ea6218a681	f4eaa7a4f9b35cf76f7bc976067e057210fd7f93340f5da5ad0147b0e19854fa	3abde7323480780feca396aac5cefdf15b5eca4497df0e1cbbe37d98f5f1f3cc
aging_axis_granulosa	Young-directed projection in Granulosa	OT libraries project toward the young reference relative to OC in this population.	results/stage5_rejuvenation_geometry/aging_axis_projection.tsv	results/publication_stage13/source_data/aging_axis_granulosa.tsv	figures/publication/aging_axis_granulosa.svg	figures/publication/aging_axis_granulosa.pdf	figures/publication/aging_axis_granulosa.png	1	False	b1a85d06fff972a2132b8692fb190a39aba30ed8c0bf13d5c502aaa6415d7dd1	0f8427cbc1ab03a73073ace9fb2bc61b4c2eb1546abb0f518236ea72d6f63e89	21e60d946a93a3f33156d0eab650a23b12df243790575d45b08af6f35f2a92d0
pathway_reversal_granulosa	Granulosa pathway reversal	Selected aging-associated pathways shift in the opposite direction after treatment.	results/pathway_stage2/primary_pathway_reversal_summary.tsv	results/publication_stage13/source_data/pathway_reversal_granulosa.tsv	figures/publication/pathway_reversal_granulosa.svg	figures/publication/pathway_reversal_granulosa.pdf	figures/publication/pathway_reversal_granulosa.png	1	False	04bc2a4eb8fd31aa126dd9f4e708f7d3b74606503736c82a7d090dae4a1fff7e	e8752c4dae38874cff18dd7fb6d60e58422e8c42952e6e16e9f36c2fcabbb213	0008beec7eb0ce21cf6512e202179a968ae2584d631274e3f76895ac92e51760
subtype_localization_granulosa	Granulosa subtype localization	Broad pathway reversal localizes to defined, adequately represented subtypes.	results/stage3_subtype_localization/broad_to_subtype_localization.tsv	results/publication_stage13/source_data/subtype_localization_granulosa.tsv	figures/publication/subtype_localization_granulosa.svg	figures/publication/subtype_localization_granulosa.pdf	figures/publication/subtype_localization_granulosa.png	1	False	029a65ef02020867e1686c09c3df0f45fadc16d2b2fafac6ddeb91e1065870f9	ef8f8c56f882b0a5c7484f89b427b28c57826aec46458f0dcb7c0c9629177280	94ad0f8668bb2e81e7dc691b2ab02b89bd9ffe05a88a4f22319036672a75f13f
