fact_id	section	exact_numeric_result	allowed_wording_cn	allowed_wording_en	forbidden_overclaim	source_file	source_row_or_key
F001	Atlas	105763 cells x 57132 features	最终对象包含105,763个细胞。	The final object contains 105,763 cells.	Do not call cells biological replicates.	results/06_annotation_v2.h5ad	shape
F002	Broad reversal	Spearman=-0.739575; cosine=-0.768958; ranks=1/20,1/20	Granulosa的衰老与治疗效应呈反向关系。	Aging and treatment effects are opposed in Granulosa.	Do not claim functional rejuvenation; Theca is exploratory.	results/de_stage1_6/population_reversal_evidence.tsv	population=Granulosa
F003	Broad reversal	Spearman=-0.762702; cosine=-0.763918; ranks=1/20,1/20	Stromal_fibroblast的衰老与治疗效应呈反向关系。	Aging and treatment effects are opposed in Stromal_fibroblast.	Do not claim functional rejuvenation; Theca is exploratory.	results/de_stage1_6/population_reversal_evidence.tsv	population=Stromal_fibroblast
F004	Broad reversal	Spearman=-0.710856; cosine=-0.652849; ranks=2/20,4/20	Theca_steroidogenic的衰老与治疗效应呈反向关系。	Aging and treatment effects are opposed in Theca_steroidogenic.	Do not claim functional rejuvenation; Theca is exploratory.	results/de_stage1_6/population_reversal_evidence.tsv	population=Theca_steroidogenic
F005	Pathway	13	共有13条strong multi-metric通路反向证据。	Thirteen strong multi-metric pathway reversals were retained.	Do not call GSEA biochemical activation/inhibition.	results/pathway_stage2/primary_pathway_reversal_summary.tsv	pathway_evidence_level=Strong_multi_metric_reversal
F006	Subtype	38	38个pathway-subtype组合达到预设定位标准。	Thirty-eight pathway-subtype pairs met the predefined localization rule.	Do not generalize to rare or ineligible subtypes.	results/stage3_subtype_localization/broad_to_subtype_localization.tsv	localized_GSEA_support=True
F007	Composition	projection_fraction=0.996142	Granulosa OC_vs_Y主要由亚型内表达改变构成。	The Granulosa OC_vs_Y aggregate shift is dominated by within-subtype expression.	Never interpret the projection as a causal percentage.	results/stage4_composition_decomposition/decomposition_summary.tsv	Granulosa|OC_vs_Y|cell_intrinsic
F008	Composition	projection_fraction=0.996814	Granulosa OT_vs_OC主要由亚型内表达改变构成。	The Granulosa OT_vs_OC aggregate shift is dominated by within-subtype expression.	Never interpret the projection as a causal percentage.	results/stage4_composition_decomposition/decomposition_summary.tsv	Granulosa|OT_vs_OC|cell_intrinsic
F009	Composition	projection_fraction=0.993917	Stromal_fibroblast OC_vs_Y主要由亚型内表达改变构成。	The Stromal_fibroblast OC_vs_Y aggregate shift is dominated by within-subtype expression.	Never interpret the projection as a causal percentage.	results/stage4_composition_decomposition/decomposition_summary.tsv	Stromal_fibroblast|OC_vs_Y|cell_intrinsic
F010	Composition	projection_fraction=1.001170	Stromal_fibroblast OT_vs_OC主要由亚型内表达改变构成。	The Stromal_fibroblast OT_vs_OC aggregate shift is dominated by within-subtype expression.	Never interpret the projection as a causal percentage.	results/stage4_composition_decomposition/decomposition_summary.tsv	Stromal_fibroblast|OT_vs_OC|cell_intrinsic
F011	Composition	projection_fraction=0.902495	Immune OC_vs_Y主要由亚型内表达改变构成。	The Immune OC_vs_Y aggregate shift is dominated by within-subtype expression.	Never interpret the projection as a causal percentage.	results/stage4_composition_decomposition/decomposition_summary.tsv	Immune|OC_vs_Y|cell_intrinsic
F012	Composition	projection_fraction=1.007240	Immune OT_vs_OC主要由亚型内表达改变构成。	The Immune OT_vs_OC aggregate shift is dominated by within-subtype expression.	Never interpret the projection as a causal percentage.	results/stage4_composition_decomposition/decomposition_summary.tsv	Immune|OT_vs_OC|cell_intrinsic
F013	Geometry	Y=0.130431; OC=0.654931; OT=0.399616; rank=1/20	Granulosa中OT相对OC向年轻参考方向投影。	OT projects toward the young reference relative to OC in Granulosa.	Do not say the ovary became younger.	results/stage5_rejuvenation_geometry/aging_axis_projection.tsv	population=Granulosa; group means
F014	Geometry	Y=0.140729; OC=0.811120; OT=0.407559; rank=1/20	Stromal_fibroblast中OT相对OC向年轻参考方向投影。	OT projects toward the young reference relative to OC in Stromal_fibroblast.	Do not say the ovary became younger.	results/stage5_rejuvenation_geometry/aging_axis_projection.tsv	population=Stromal_fibroblast; group means
F015	External	n=33; Spearman=0.614639; cosine=0.666348	Granulosa显著衰老基因在外部数据中方向一致。	Significant aging genes show external concordance in Granulosa.	Do not call this treatment replication.	results/stage6_external_validation/internal_external_concordance.tsv	Granulosa|both_aging_FDR_lt_0.05
F016	External	n=89; Spearman=0.645029; cosine=0.672152	Stromal_fibroblast显著衰老基因在外部数据中方向一致。	Significant aging genes show external concordance in Stromal_fibroblast.	Do not call this treatment replication.	results/stage6_external_validation/internal_external_concordance.tsv	Stromal_fibroblast|both_aging_FDR_lt_0.05
F017	External	9/12	Stromal有9/12强通路获得外部方向支持。	Nine of twelve strong Stromal pathways receive external directional support.	Do not imply all 12 replicate.	results/stage6_external_validation/external_strong_pathway_validation.tsv	population=Stromal_fibroblast
F018	NMF	9/10; K=5 per lineage	10个NMF程序中9个方向反向。	Nine of ten NMF programs reverse direction.	Do not treat co-expression programs as causal modules.	results/stage8_gene_programs/program_reversal.tsv	all programs
F019	Communication	n_ligands=4; Il6,Fgf2,Bdnf,Bmp4	四个配体仅作为通讯假说。	Four ligands are retained as communication hypotheses only.	Do not claim proven signaling.	results/stage9_communication/candidate_ligands.tsv	all rows
F020	Phenotype	matched_phenotype_available=false	当前没有匹配表型，不进行相关分析。	No matched phenotypes are available; no correlations were performed.	Do not claim functional rescue.	results/stage11_phenotype_framework/PHENOTYPE_INTEGRATION_REPORT_CN.md	matched_phenotype_available=false
