gene	cell_type	subtype	aging_LFC	aging_FDR	treatment_LFC	treatment_FDR	residual_LFC	exact_permutation_support	exact_permutation_detail	Hallmark_membership	leading_edge	external_aging_validation	PROGENy_or_TF_association	NMF_program	communication_role	known_biological_relevance	experimental_feasibility	primary_evidence	supporting_evidence	contradictory_evidence	publication_tier	tier_rationale
Abhd2	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.867031202824946	3.2299307420261887e-06	-0.60645235898855	0.0037144831699239	0.260578843836396	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_ANDROGEN_RESPONSE;HALLMARK_ESTROGEN_RESPONSE_LATE	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Acaca	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.5822744337936809	0.0271705550522011	-0.5442291891609141	0.044224826578791	0.0380452446327668	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_MTORC1_SIGNALING	True	False	Ar;Cebpb;Creb1;Foxo1;Mlxipl;Nr1h3;Sp1;Srebf1;Stat3;Stat5a;Usf1;Usf2		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Ccp110	Granulosa	Granulosa_preantral_like	0.5269912884969652	2.6201233712645752e-05	-0.461292046883185	0.0007427690281803	0.0656992416137802	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_E2F_TARGETS	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Cntrob	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.575307081027406	0.001425644287032	-0.5093048195082099	0.0084541580089503	0.066002261519196	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_MITOTIC_SPINDLE	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Frat1	Granulosa	Granulosa_preantral_like	-0.5721827435551954	0.0014782775692871	0.6905282634805089	0.000124282890737	0.1183455199253136	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_WNT_BETA_CATENIN_SIGNALING	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Niban1	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	1.7101131621405168	0.0002165473437686	-1.3840595858222813	0.0057530462077703	0.3260535763182355	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_CHOLESTEROL_HOMEOSTASIS;HALLMARK_MTORC1_SIGNALING	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Nr4a3	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.8755160626606295	0.0189575407481763	-0.7934798622697778	0.0419959725401506	0.0820362003908517	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_TNFA_SIGNALING_VIA_NFKB	True	False	Creb1;Hsf1;Nr3c1;Nr4a3;Rela;Tlx1;Trp53		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Ptov1	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	-1.4905071081504513	1.374588869929464e-28	1.4640479887381792	1.6049375906155734e-27	-0.0264591194122719	True	population signature; Spearman rank 1/20; cosine rank 1/20		False	False	Jun;Rara		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Slc26a2	Granulosa	Granulosa_antral_like;Granulosa_preantral_like	0.6174052053063999	0.0232096421685585	-0.5745092062246862	0.0416464049937634	0.0428959990817137	True	population signature; Spearman rank 1/20; cosine rank 1/20	HALLMARK_ANDROGEN_RESPONSE;HALLMARK_ESTROGEN_RESPONSE_LATE	True	False	Ctnnb1		nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization	regulatory target association	no gene-level external aging support in the current reference	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Ahnak	Immune	Macrophage_inflammatory_candidate;T_cell_candidate	0.6723461928843157	0.0179045569853293	-0.9487174376911756	0.0007101589661673	-0.2763712448068597	True	population signature; Spearman rank 4/20; cosine rank 6/20	HALLMARK_IL2_STAT5_SIGNALING	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference; population support is secondary to Granulosa/Stromal	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Ctla4	Immune	Macrophage_C1qc_high;T_cell_candidate	1.2673139998386873	3.517899549078164e-05	-0.0605852689682007	0.9686400732680462	1.2067287308704866	True	population signature; Spearman rank 4/20; cosine rank 6/20	HALLMARK_IL2_STAT5_SIGNALING	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference; treatment contrast is not FDR-supported; population support is secondary to Granulosa/Stromal	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
F2r	Immune	T_cell_candidate	1.3089835294110126	0.0011193592836618	-0.3473984879402078	0.7465271517983307	0.9615850414708048	True	population signature; Spearman rank 4/20; cosine rank 6/20	HALLMARK_ALLOGRAFT_REJECTION	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference; treatment contrast is not FDR-supported; population support is secondary to Granulosa/Stromal	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Fbln1	Immune	Macrophage_C1qc_high	-1.200421736880121	0.0122839266688622	0.655387841432796	0.495991758960278	-0.5450338954473251	True	population signature; Spearman rank 4/20; cosine rank 6/20	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference; treatment contrast is not FDR-supported; population support is secondary to Granulosa/Stromal	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
Gpx7	Immune	Macrophage_C1qc_high;T_cell_candidate	-1.3604248117684103	0.0066678747687704	0.7582925098827465	0.4313449058280545	-0.6021323018856638	True	population signature; Spearman rank 4/20; cosine rank 6/20	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	True	False			nan	project_internal_evidence_only; needs_manual_literature_review	Moderate: qPCR/protein validation followed by population-resolved functional assay.	Stage1.6 gene reversal + population exact permutation + Stage2 leading edge + Stage3 subtype localization		no gene-level external aging support in the current reference; treatment contrast is not FDR-supported; population support is secondary to Granulosa/Stromal	Tier C - exploratory	Retained for transparency; insufficient priority for the first validation set.
